timestamp,day,hour,department,district,full_address,A,district_code,B,address,cornerAddress,vehiculeType1,responsability,C,D,E,F,status,G,H,I,J,K,L,M,N,O,P,Q,address,latitude,longitude,season
16/10/2012 10:15,16/10/2012,10:15,75,101,"1, PLACE DU CHATELET",,1_75101_6801,,"1, PLACE DU CHATELET, 75001 Paris",AVENUE VICTORIA,Cyclo,RESPONSIBLE,,,,,Cond,BL,RESPONSIBLE,,,,,,,,,,"1, PLACE DU CHATELET, 75001 Paris",48.8575996,2.3467545,autumn
15/03/2012 17:10,15/03/2012,17:10,75,101,"41, RUE DE RIVOLI",,1_75101_6850,,"41, RUE DE RIVOLI, 75001 Paris",BOULEVARD DE SEBASTOPOL,Bicy,RESPONSIBLE,,,,,Cond,BL,RESPONSIBLE,Troll,Indem,RESPONSIBLE,,,,,,,"41, RUE DE RIVOLI, 75001 Paris",48.85842,2.3477402,winter
19/04/2013 11:10,19/04/2013,11:10,75,101,"41, RUE DE RIVOLI",,1_75101_6850,,"41, RUE DE RIVOLI, 75001 Paris",BOULEVARD DE SEBASTOPOL,VU,RESPONSIBLE,,,,,Cond,Indem,RESPONSIBLE,Pi̩to,BL,RESPONSIBLE,,,,,,,"41, RUE DE RIVOLI, 75001 Paris",48.85842,2.3477402,spring
12/01/2012 22:30,12/01/2012,22:30,75,101,"19, RUE ETIENNE MARCEL",,1_75101_6945,,"19, RUE ETIENNE MARCEL, 75001 Paris",RUE DE TURBIGO,Scoo50-125,RESPONSIBLE,Scoo50-125,VICTIM,,,Cond,Indem,RESPONSIBLE,Cond,Indem,VICTIM,Pi̩to,BL,RESPONSIBLE,,,,"19, RUE ETIENNE MARCEL, 75001 Paris",48.8638538,2.3483359,winter
29/10/2013 01:10,29/10/2013,01:10,75,101,"29, BOULEVARD DE SEBASTO",,1_75101_7026,,"29, BOULEVARD DE SEBASTO, 75001 Paris",RUE DE LA COSSONNERIE,VL,RESPONSIBLE,Scoo<=50,VICTIM,,,Cond,Indem,RESPONSIBLE,Cond,BL,VICTIM,,,,,,,"29, BOULEVARD DE SEBASTO, 75001 Paris",48.8605694,2.349372,autumn
06/09/2013 16:00,06/09/2013,16:00,75,101,"61, BOULEVARD DE SEBASTO",,1_75101_7173,,"61, BOULEVARD DE SEBASTO, 75001 Paris",RUE ETIENNE MARCEL,VL,RESPONSIBLE,VL,VICTIM,Scoo50-125,VICTIM,Cond,Indem,RESPONSIBLE,Cond,Indem,VICTIM,Cond,BL,VICTIM,Pass,BL,VICTIM,"61, BOULEVARD DE SEBASTO, 75001 Paris",48.8631033,2.3507372,summer
18/09/2013 15:25,18/09/2013,15:25,75,101,QUAI FRANCOIS MITTERRAND,,,,"QUAI FRANCOIS MITTERRAND, 75001 Paris",,Bus,RESPONSIBLE,Car,VICTIM,,,Pass,BL,RESPONSIBLE,Cond,Indem,RESPONSIBLE,Cond,Indem,VICTIM,,,,"QUAI FRANCOIS MITTERRAND, 75001 Paris",48.8598529,2.3345415,summer
17/02/2013 17:20,17/02/2013,17:20,75,101,"10, QUAI FRANCOIS MITTER",,,,"10, QUAI FRANCOIS MITTER, 75001 Paris",,Scoo<=50,RESPONSIBLE,Scoo>125,VICTIM,,,Cond,Indem,VICTIM,Cond,BL,RESPONSIBLE,,,,,,,"10, QUAI FRANCOIS MITTER, 75001 Paris",48.8640493,2.3310526,winter
25/09/2013 18:15,25/09/2013,18:15,75,101,"19, RUE SAINT GERMAIN L",,,,"19, RUE SAINT GERMAIN L, 75001 Paris",,VL,RESPONSIBLE,,,,,Cond,Indem,RESPONSIBLE,Pi̩to,BL,RESPONSIBLE,,,,,,,"19, RUE SAINT GERMAIN L, 75001 Paris",48.8583015,2.3440738,autumn
28/09/2013 10:00,28/09/2013,10:00,75,101,"1, PLACE DU CARROUSEL",,,,"1, PLACE DU CARROUSEL, 75001 Paris",,Scoo<=50,RESPONSIBLE,,,,,Cond,BL,RESPONSIBLE,,,,,,,,,,"1, PLACE DU CARROUSEL, 75001 Paris",48.8602768,2.3331928,autumn
