16/10/2012 10:15,16/10/2012,10:15,75,101,"1, PLACE DU CHATELET",,1_75101_6801,,PLACE DU CHATELET,AVENUE VICTORIA,Cyclo,A,,,,,Cond,BL,A,,,,,,,,,,"1, PLACE DU CHATELET, 75001 Paris",48.8575996,2.3467545
15/03/2012 17:10,15/03/2012,17:10,75,101,"41, RUE DE RIVOLI",,1_75101_6850,,RUE DE RIVOLI,BOULEVARD DE SEBASTOPOL,Bicy,A,,,,,Cond,BL,A,Troll,Indem,A,,,,,,,"41, RUE DE RIVOLI, 75001 Paris",48.85842,2.3477402
19/04/2013 11:10,19/04/2013,11:10,75,101,"41, RUE DE RIVOLI",,1_75101_6850,,RUE DE RIVOLI,BOULEVARD DE SEBASTOPOL,VU,A,,,,,Cond,Indem,A,Pi̩to,BL,A,,,,,,,"41, RUE DE RIVOLI, 75001 Paris",48.85842,2.3477402
12/01/2012 22:30,12/01/2012,22:30,75,101,"19, RUE ETIENNE MARCEL",,1_75101_6945,,RUE ETIENNE MARCEL,RUE DE TURBIGO,Scoo50-125,A,Scoo50-125,B,,,Cond,Indem,A,Cond,Indem,B,Pi̩to,BL,A,,,,"19, RUE ETIENNE MARCEL, 75001 Paris",48.8638538,2.3483359
29/10/2013 01:10,29/10/2013,01:10,75,101,"29, BOULEVARD DE SEBASTO",,1_75101_7026,,BOULEVARD DE SEBASTOPOL,RUE DE LA COSSONNERIE,VL,A,Scoo<=50,B,,,Cond,Indem,A,Cond,BL,B,,,,,,,"29, BOULEVARD DE SEBASTO, 75001 Paris",48.8605694,2.349372
06/09/2013 16:00,06/09/2013,16:00,75,101,"61, BOULEVARD DE SEBASTO",,1_75101_7173,,BOULEVARD DE SEBASTOPOL,RUE ETIENNE MARCEL,VL,A,VL,B,Scoo50-125,C,Cond,Indem,A,Cond,Indem,B,Cond,BL,C,Pass,BL,C,"61, BOULEVARD DE SEBASTO, 75001 Paris",48.8631033,2.3507372
18/09/2013 15:25,18/09/2013,15:25,75,101,QUAI FRANCOIS MITTERRAND,,,,QUAI DU LOUVRE,,Bus,A,Car,B,,,Pass,BL,A,Cond,Indem,A,Cond,Indem,B,,,,"QUAI FRANCOIS MITTERRAND, 75001 Paris",48.8598529,2.3345415
17/02/2013 17:20,17/02/2013,17:20,75,101,"10, QUAI FRANCOIS MITTER",,,,QUAI DU LOUVRE,,Scoo<=50,A,Scoo>125,B,,,Cond,Indem,B,Cond,BL,A,,,,,,,"10, QUAI FRANCOIS MITTER, 75001 Paris",48.8640493,2.3310526
25/09/2013 18:15,25/09/2013,18:15,75,101,"19, RUE SAINT GERMAIN L",,,,RUE SAINT GERMAIN L AUXERROIS,,VL,A,,,,,Cond,Indem,A,Pi̩to,BL,A,,,,,,,"19, RUE SAINT GERMAIN L, 75001 Paris",48.8583015,2.3440738
28/09/2013 10:00,28/09/2013,10:00,75,101,"1, PLACE DU CARROUSEL",,,,PLACE DU CARROUSEL,,Scoo<=50,A,,,,,Cond,BL,A,,,,,,,,,,"1, PLACE DU CARROUSEL, 75001 Paris",48.8602768,2.3331928
